num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sct,scm
1,106981,108788,125875,4322612913,85806960,100000,1323344736,147261200,396042767,31013680,1719387503,178274880,1566502,1566502,33477967499,593315416,251821,17752330290,135174424,54958175012,455681464,72710505302,590855888
2,214164,215827,247804,6886067140,171204952,200000,2192805381,287649104,620999872,61303336,2813805253,348952440,1516502,1516502,35955688919,567598384,523995,16032131742,135566008,49169697134,475196952,65201828876,610762960
3,321186,323997,371073,6373806795,257066480,300000,1840309922,430619536,666394455,91928008,2506704377,522547544,1466502,1466502,26262065989,544424120,759777,11367707777,135566384,38162879116,490342776,49530586893,625909160
4,428284,434014,493889,8377631167,343668376,400000,2850920822,576712800,975618898,122773592,3826539720,699486392,1416502,1416502,24004957287,515887304,1012529,11871914933,135566384,35404879513,507668816,47276794446,643235200
5,536342,543429,617024,9870031186,430595840,500000,4559769025,724249488,999142778,153370088,5558911803,877619576,1366502,1366502,22691565936,490658808,1303424,12529746775,135566384,35843731735,530121232,48373478510,665687616
6,643518,651022,738833,12215112141,516186500,600000,5290854226,866712000,1155550816,184869480,6446405042,1051581480,1316502,1316502,21356095011,469833768,1509848,9201745760,135566384,35152993931,541223624,44354739691,676790008
7,752776,759646,861409,15022773351,603518740,700000,5158050762,1017081456,1776198413,215302208,6934249175,1232383664,1266502,1266502,18974759136,444517048,1774983,10653845977,135566384,32829284629,560191576,43483130606,695757960
8,859980,868692,986621,16896032076,690016736,800000,6194158879,1165083384,1661192755,246200080,7855351634,1411283464,1216502,1216502,18248280842,419541688,2044560,9514780793,135566384,28813488294,579918832,38328269087,715485216
9,967989,977123,1112674,18341560114,776567608,900000,6700712012,1315232080,1791028350,278926912,8491740362,1594158992,1166502,1166502,18206760988,397954064,2255978,8911309259,135566384,26765363591,592038952,35676672850,727605336
10,1075876,1085466,1237336,27312146496,862910628,1000000,6983854084,1461463496,1925434646,309427960,8909288730,1770891456,1116502,1116502,17537481788,368357448,2524537,9066060243,135566384,26635300403,611849008,35701360646,747415392
11,1184543,1194280,1362508,25564643899,950034312,1100000,6981144119,1612591024,1796005558,340568584,8777149677,1953159608,1066502,1066502,17090679418,341698728,2796839,8653509165,135566640,21010470971,631879368,29663980136,767446008
12,1291963,1302201,1462524,30389424067,1036629292,1165202,7791327444,1734147208,2951834930,361235776,10743162374,2095382984,1016502,1016502,17972445909,317328744,2935088,8651642041,134255768,23198100769,634183256,31849742810,768439024
13,1398443,1410340,1471377,34039233505,1122799592,1111340,8476381594,1760779704,2320737991,344815016,10797119585,2105594720,966502,966502,15790899551,303182672,2768296,8272881385,128116768,20473135058,601797520,28746016443,729914288
14,1505521,1521772,1478821,45067161792,1210515460,1054318,9085255216,1787176616,2291001645,327839368,11376256861,2115015984,916502,916502,16610803533,284692944,2613932,7552685583,122062840,20681709562,570730000,28234395145,692792840
15,1613103,1629211,1488564,54318328729,1296365644,1001654,9061624049,1814508648,2490267233,312102688,11551891282,2126611336,866502,866502,14961243745,260008176,2466903,7833284300,116085704,18797592472,540034128,26630876772,656119832
16,1720199,1740437,1494957,63999990123,1383831984,943220,17777086961,1839724072,3149327604,294641160,20926414565,2134365232,816502,816502,25229295811,243532488,2311698,12151000400,109987384,29088366421,508578352,41239366821,618565736
17,1827379,1850197,1502765,66844362672,1470290000,886590,15836021099,1865529952,4872168286,278562800,20708189385,2144092752,766502,766502,24723546460,223479568,2163452,10345245463,104091736,33999599924,469441416,44344845387,573533152
18,1933192,1958853,1510642,82949382616,1555774616,831364,20451631233,1891979832,4142702499,262788536,24594333732,2154768368,716502,716502,22649716914,201348032,2007379,10740975304,98348472,25222462248,437742112,35963437552,536090584
