num,levc,revc,aoc,clt,clm,cdc,ctt,ctm,cdt,cdm,cxc,cxt,cxm,cct,ccm,lelc,relc,slt,slm,sdc,smt,smm,sdt,sdm,sxc,sxt,sxm,sct,scm,exc,ept,epm,ext,exm,ect,ecm,srx
1,50986,51025,90208,335179751,41388997,52009,484749175,433607672,193633683,108437888,293,188397790,108611480,866780648,650657040,570535,570535,6802877279,441372544,50170,3352570820,651705592,12276314812,1517414712,378,603950748,348905736,16232836380,2518026040,293,4459334031,1057464304,13299339506,1555473120,17758673537,2612937424,293
2,101976,101944,166857,600970489,132942680,103918,439025558,765667472,209633761,153167312,949,199351644,153133408,848010963,1071968192,595535,595535,6881561183,560857360,100170,3385532306,609668336,12596629089,6891148384,1034,646101394,308103096,16628262789,7808919816,949,9575299366,2279884840,17364754699,2258023568,26940054065,4537908408,949
3,152879,152905,235253,1050987842,199340741,155782,592712179,1027016344,521321259,201169112,1829,171329896,201203016,1285363334,1429388472,620535,620535,5770730952,571752648,150170,3204786319,616227848,12592862600,6983618624,1914,794300017,413086088,16591948936,8012932560,1829,12440728931,3646825048,24114443786,3056688808,36555172717,6703513856,1829
4,203761,203773,298113,1194069555,265687696,207532,855373238,1458038320,419870300,242999328,2876,228521137,243033232,1503764675,1944070880,645535,645535,6369764590,582514016,200170,3409331697,725979800,12826360440,7047096472,2961,1038741945,490196056,17274434082,8263272328,2876,16530386831,4262418424,31130463054,3773918456,47660849885,8036336880,2876
5,254645,254654,357639,1476827592,331961530,259297,977358665,1597422096,426810720,259215568,3947,420550590,259222712,1824719975,2115860376,670535,670535,6052929361,593110192,250170,3491303573,798735312,13315277277,7188396696,4032,1152655393,538059800,17959236243,8525191808,3947,20080494217,5427507368,44490483720,4402708624,64570977937,9830215992,3947
6,305480,305503,414693,1825218793,398220776,310981,1694796805,1945655656,582267879,537622408,5048,300014268,268845056,2577078952,2752123120,695535,695535,6543050700,603672296,300170,3462012369,829023360,13346052662,7460981688,5133,1413263343,563426040,18221328374,8853431088,5048,24797601520,6492644432,52944149687,5245052840,77741751207,11737697272,5048
7,356288,356310,470059,2121011699,464485648,362596,2071621461,2256460288,635942675,525386232,6198,610989007,262718128,3318553143,3044564648,720535,720535,6128390279,614146392,350170,3663575111,798597048,13800126127,7513704816,6283,1555479284,820563256,19019180522,9132865120,6198,28010336769,7362551824,65315720398,5842063896,93326057167,13204615720,6198
8,407079,407125,524221,2596203014,530675373,414202,1681976449,2574599912,823117067,483600400,7375,419687880,241817128,2924781396,3300017440,745535,745535,6077700252,624528296,400170,3852871370,734579960,13843807980,7590371008,7460,1932708565,773017224,19629387915,9097968192,7375,32684010064,8452335584,80631645532,6427843768,113315655596,14880179352,7375
9,457818,457888,577400,2685998356,596854192,465704,2591111151,2774672608,780914310,504478032,8489,432848519,252272928,3804873980,3531423568,770535,770535,7188561502,634850800,450170,3698457959,952488728,14131530067,7682201688,8574,1985666228,994909648,19815654254,9629600064,8489,35771880810,9245923928,98895322829,7154008512,134667203639,16399932440,8489
10,508596,508681,630015,3366290854,663066616,517275,2150454063,3043278192,1150758584,457456528,9646,504919145,228745192,3806131792,3729479912,795535,795535,6106091453,645070256,500170,4235472591,939350888,15300743725,7714826400,9731,2109578175,989908400,21645794491,9644085688,9646,40529706282,10304175760,116670587801,7929152696,157200294083,18233328456,9646
11,559289,559415,682076,3567794980,729202357,568702,3327977918,3248989184,991785627,499880040,10765,581657707,237069304,4901421252,3985938528,820535,820535,6374810509,655207376,550170,4210573316,970702992,14966246666,7765413856,10850,2304470068,1013506352,21481290050,9749623200,10765,45255968244,11171498208,132947756020,8554095000,178203724264,19725593208,10765
12,610000,610065,733775,4013654598,795247616,620063,3432510945,3488428192,975236095,536711344,11854,1043524615,242651480,5451271655,4267791016,845535,845535,7058279729,665320880,600170,4171344369,996709224,15144114538,7973517880,11939,2470833255,1023365128,21786292162,9993592232,11854,48383304088,12078842360,155800622692,9240400448,204183926780,21319242808,11854
13,660660,660761,785101,3973366123,861318176,671419,3676561646,3678927824,1683199026,789095120,13027,665271110,262818280,6025031782,4730841224,870535,870535,6330650852,675377688,650170,4564506186,959036776,15277874473,8000349056,13112,2663568745,1214272352,22505949404,10173658184,13027,52706463710,1563885328,177350359636,9844070680,230056823346,11407956008,13027
14,711385,711449,836233,4887497303,927442714,722832,3248678676,3865525664,1493147594,676195728,14152,692296785,450811184,5434123055,4992532576,895535,895535,8009416751,685378944,700170,4724325636,932800896,15619616119,8167761776,14237,2850430917,1203111376,23194372672,10303674048,14152,57564589197,2612111720,202591209193,10783220256,260155798390,13395331976,14152
15,762036,762062,887176,4839782997,993477050,774096,4489395085,4231513808,1214778168,793437632,15168,1045187987,528972448,6749361240,5553923888,920535,920535,7988650060,695326200,750170,4745782293,942810824,15774407164,8250551064,15253,3495615378,1173192656,24015804835,10366554544,15168,61291619995,3974885784,225723300045,11257938440,287014920040,15232824224,15168
16,812666,812690,937952,5287717327,1059505104,825354,4824250790,4349598656,1673786505,769382328,16219,795512205,512503072,7293549500,5631484056,945535,945535,8311653518,705238696,800170,4737702822,1102220856,16061674398,8309285808,16304,3348716547,1343357504,24148093767,10754864168,16219,65141662201,5650707296,259925753739,2844254808,325067415940,8494962104,16219
17,863231,863305,988560,5646808685,1125495778,876534,4033350731,4481832808,1853200066,812855128,17297,825078581,406464376,6711629378,5701152312,970535,970535,7660913097,715095984,850170,5194520742,1059559976,17864844245,8264282640,17382,3651538223,1323268800,26710903210,10647111416,17297,67593003265,6962727384,287129373403,3812890600,354722376668,10775617984,17297
18,913814,913866,1039115,5988950084,1191468986,927678,5521909594,4764050560,1590798215,802808928,18292,1374624356,401424512,8487332165,5968284000,995535,995535,7818281014,724935456,900170,4957191156,1051602768,16403059074,8412700608,18377,3620190134,1541189936,24980440364,11005493312,18292,72778934583,7733787632,318405753331,4007204480,391184687914,11740992112,18292
19,964373,964423,1089542,5965904282,1257401754,978794,5441628452,5105089120,2226840539,923898912,19244,967109785,461969520,8635578776,6490957552,1020535,1020535,6887947944,734716080,950170,5175830397,993045792,16901488946,8519662144,19329,4358925063,1421738400,26436244406,10934446336,19244,75595703157,9244094960,348361955105,5602910136,423957658262,14847005096,19244
20,1014911,1014966,1139955,9882005922,1323346805,1029875,5770600709,5265250152,2206549871,819654176,20180,913112993,491809856,8890263573,6576714184,1045535,1045535,8695326702,744490904,1000170,5163186661,1040076112,17010677687,8469057008,20265,4011030062,1528564840,26184894410,11037697960,20180,79617528186,2551773368,382417130597,6144349664,462034658783,8696123032,20180
21,1065434,1065493,1190260,11347016652,1389255560,1080925,6100566448,5543910832,2057196241,982938888,21120,1014910433,491491664,9172673122,7018341384,1070535,1070535,8883608746,754183472,1050170,5417610793,1178752632,17170861428,8588552512,21205,4100280280,1675619872,26688752501,11442925016,21120,83726511474,3135414416,416542496839,6694537704,500269008313,9829952120,21120
22,1115968,1116044,1240558,12659636512,1455208589,1132010,6508459368,5802306072,2374940183,874847080,22087,1022255867,524924768,9905655418,7202077920,1095535,1095535,8943246552,763860016,1100170,5431973314,1204924048,17508299719,8735382248,22172,4552835218,1753904592,27493108251,11694210888,22087,88278110789,3171594960,455283904399,7097373328,543562015188,10268968288,22087
